## 基于分类添加特定位置的音标

# 声母
#"唇音系列(b/p/m/f/w)"
# 如 bei3 北

#"舌尖音系列(d/t/n/l/z/c/s)"
# 如 ding1 丁

#"舌面音系列(j/q/x/y)"
# 如 jian1 间

#"舌尖后音系列(zh/ch/sh/r)"
# 如 zhang1 张

#"拼音字典 - 零声母系列(a/o/e/i/u/ü)"
# 如 ai4 爱

# 韵母
# "单韵母": ["a", "o", "e", "i", "u", "ü"],

# "复韵母": 
# "ai类": ["ai", "ei", "ui"],
# "ao类": ["ao", "ou"],
# "ia类": ["ia", "ua", "uo"],
# "ie类": ["ie", "üe"],
# "iu类": ["iu", "ui"],
# "iao类": ["iao", "iou"],
# "uai类": ["uai", "uei"]

# "鼻韵母": 
# "前鼻音": ["an", "en", "in", "un", "ün"],
# "后鼻音": ["ang", "eng", "ing", "ong"],
# "复合前鼻音": ["ian", "uan", "üan"],
# "复合后鼻音": ["iang", "uang"],
# "特殊后鼻音": ["iong"]


# 拼音字典文件 - 唇音系列（修正版）
# 格式：拼音 汉字
# 注：选择读音唯一的常用字

# b系列（双唇音）
## 单元音
ba1 八
ba2 拔
ba3 把
ba4 爸
bo1 波
bo2 伯
bo3 播
bo4 博
bi1 逼
bi2 鼻
bi3 比
bi4 必
bu1 补
bu2 不
bu3 步
bu4 部

## ai ei ao ou
bai1 白
bai2 百
bai3 摆
bai4 败
bei1 杯
bei2 贝
bei3 北
bei4 被
bao1 包
bao2 薄
bao3 保
bao4 报

## ian iang
bian1 边
bian3 变
bian4 便

## iao
biao1 标
biao2 彪
biao3 表
biao4 裱

## ie
bie1 别
bie2 憋
bie3 瘪
bie4 蹩

## in ing
bin1 宾
bin4 鬓
bing1 冰
bing3 饼
bing4 病

## an ang
ban1 班
ban3 办
ban4 版
bang1 帮
bang2 榜
bang3 绑
bang4 棒

## en eng
ben1 奔
ben3 本
ben4 笨
beng1 崩
beng2 绷
beng3 蹦
beng4 迸

# p系列（双唇音）
## 单元音
pa1 趴
pa2 拍
pa3 怕
pa4 帕
po1 坡
po2 婆
po3 破
po4 魄
pi1 批
pi2 皮
pi3 匹
pi4 僻
pu1 扑
pu2 普
pu3 铺
pu4 朴

## ai ei ao ou
pai1 拍
pai2 排
pai3 派
pai4 牌
pei1 胚
pei2 培
pei4 配
pao1 抛
pao2 炮
pao3 跑
pao4 泡
pou1 剖
pou2 掊
pou3 抔
pou4 裒

## ian iang
pian1 片
pian2 偏
pian4 骗

## iao
piao1 飘
piao2 漂
piao3 瓢
piao4 票

## ie
pie1 撇
pie3 瞥
pie4 苤

## in ing
pin1 拼
pin2 贫
pin3 品
pin4 聘
ping1 乒
ping2 平
ping3 凭
ping4 评

## an ang
